1,1,2,1,2,2,2,1,1,1,2,1,2,1,2,2,2,1,2,1,1,2,1,1,1,2,2,1,1,2,44
2,3,5,4,5,5,6,4,4,3,5,4,6,4,6,5,6,4,5,3,4,6,3,4,3,5,5,3,4,5,131
1,2,4,5,4,4,5,5,4,4,5,4,5,5,5,4,6,5,5,4,5,6,3,5,4,4,4,4,5,4,130
2,3,6,7,8,7,9,8,7,7,8,6,8,8,8,8,10,7,9,6,7,9,5,7,7,8,8,6,8,7,214
1,2,4,6,7,7,9,8,8,8,7,7,7,8,8,7,9,7,8,7,7,9,6,7,8,7,8,7,8,6,208
2,3,7,9,10,11,13,12,12,12,13,10,12,13,12,11,15,11,13,11,11,15,9,11,13,12,13,12,12,10,330
2,4,7,9,11,13,17,15,17,14,15,14,16,16,17,14,18,13,15,13,14,18,12,14,15,14,16,14,14,13,404
2,3,7,9,11,13,16,16,17,16,18,15,17,18,18,16,19,14,17,16,15,19,14,16,17,15,18,17,16,15,440
1,3,5,9,10,10,16,19,21,17,20,19,22,24,21,20,23,17,20,17,19,20,17,20,18,17,21,18,21,19,504
1,3,5,9,10,10,16,19,21,18,21,21,24,25,22,21,25,19,22,19,20,21,18,21,20,19,22,19,22,21,534
2,3,7,10,12,13,18,20,23,22,27,26,31,31,26,25,33,26,31,24,25,29,23,25,28,27,29,24,27,27,674
1,3,5,8,9,12,16,16,20,17,20,23,26,26,23,20,25,22,23,20,21,26,20,22,23,22,24,21,23,20,557
2,4,7,10,12,13,19,21,25,21,27,28,35,35,31,30,34,29,32,26,29,33,26,30,28,29,33,27,31,30,737
1,3,5,8,9,11,15,15,19,17,19,25,29,30,28,25,29,28,29,24,27,31,24,27,25,25,29,25,29,25,636
1,2,4,7,9,9,13,15,18,17,21,26,31,34,32,30,33,32,36,27,30,34,28,31,29,31,36,30,36,29,711
2,3,6,8,11,11,15,16,19,19,23,26,32,33,34,33,37,34,38,31,32,36,29,33,31,34,39,34,36,34,769
2,3,7,10,12,13,17,19,21,21,27,28,34,35,33,32,38,36,40,33,33,39,31,36,36,37,39,35,38,33,818
2,3,7,10,13,15,19,19,23,22,25,27,34,37,37,36,43,44,48,40,44,49,38,42,42,43,48,44,46,38,938
1,2,5,8,8,9,12,15,17,17,21,23,28,31,31,29,35,37,40,36,39,41,34,38,35,34,41,38,41,34,780
1,3,5,9,11,13,19,20,24,21,24,28,34,35,33,32,38,37,41,36,41,44,35,40,40,41,42,39,41,35,862
2,4,7,9,10,11,16,17,20,17,23,26,33,33,35,33,38,41,45,39,49,52,42,47,43,46,50,45,47,41,921
2,4,7,10,13,14,19,19,23,21,25,31,36,37,36,35,40,43,47,42,48,54,48,50,48,49,53,48,51,42,995
2,4,7,9,11,13,18,18,22,19,24,29,35,35,35,33,38,39,44,38,48,55,48,51,48,49,53,49,51,43,968
1,3,6,11,12,13,18,19,21,21,22,27,31,33,32,32,38,41,45,42,50,55,48,52,54,53,55,55,54,43,987
2,4,7,9,10,11,15,15,18,16,21,26,32,33,34,31,38,41,45,37,47,53,45,49,49,50,53,49,53,42,935
2,4,8,12,13,14,19,21,23,22,28,30,36,37,35,34,41,40,45,40,46,55,48,53,56,57,61,57,58,49,1044
2,4,7,9,11,14,18,17,21,19,23,27,34,33,35,33,39,42,44,40,47,56,47,51,53,53,58,57,56,48,998
1,3,5,8,8,10,15,17,21,17,23,26,32,34,34,31,39,39,43,36,47,53,46,52,53,54,58,61,61,51,978
2,3,7,10,12,12,16,18,20,20,24,26,33,36,35,36,41,42,48,42,49,54,47,54,56,56,64,64,69,57,1053
2,3,7,9,11,14,17,17,20,19,24,26,33,34,35,34,39,43,47,42,49,57,47,53,56,58,64,65,68,57,1050
