1,2,1,2,1,2,1,1,1,2,2,1,1,2,2,1,2,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,1,1,1,2,75
2,5,4,5,3,5,4,4,4,5,6,4,4,5,5,3,5,3,5,5,6,4,6,3,5,6,3,4,4,3,4,3,6,4,4,5,6,5,5,5,4,6,5,5,4,5,3,3,3,6,221
2,5,5,7,5,6,6,6,5,7,7,6,5,6,7,4,7,4,7,7,8,6,7,4,7,7,5,6,5,5,5,4,7,5,5,7,8,6,6,7,6,7,6,7,5,7,5,4,5,8,294
2,6,8,11,10,9,12,11,10,12,11,11,10,10,11,8,12,8,11,11,13,12,11,8,11,11,9,11,9,10,9,7,11,9,9,12,14,9,9,11,12,11,10,11,10,12,10,7,9,14,505
2,6,7,9,9,10,12,10,10,12,11,10,10,11,10,8,12,8,10,10,13,12,11,8,11,11,8,11,9,9,10,7,12,9,9,11,14,10,9,10,12,11,11,11,10,12,10,8,9,14,499
1,4,6,7,9,11,15,11,12,14,12,12,11,12,11,10,13,10,11,11,15,14,11,10,12,11,10,13,10,10,13,8,14,11,11,12,15,11,10,10,14,12,12,13,11,14,12,10,12,15,559
2,5,5,9,11,13,17,13,15,19,14,13,13,17,14,14,18,13,15,14,18,16,14,14,15,13,12,15,11,13,14,10,17,13,12,17,19,15,13,13,17,14,16,17,14,19,16,12,14,18,695
2,5,5,8,9,13,18,16,18,22,18,17,15,20,18,18,21,15,20,17,22,18,17,18,17,16,15,19,13,15,18,12,21,17,15,21,21,19,17,16,20,18,18,21,17,22,19,14,18,20,829
2,5,5,8,9,13,17,15,18,22,20,20,18,21,20,20,23,17,22,19,23,20,17,20,18,18,17,21,15,18,21,13,22,18,17,23,22,20,20,19,21,21,20,22,18,23,21,16,21,22,901
2,5,5,9,11,13,17,15,19,24,21,22,23,25,21,24,27,21,24,21,25,23,19,23,20,20,20,24,19,22,24,16,25,20,20,27,26,23,22,23,25,24,23,25,22,27,25,19,23,26,1029
2,5,5,8,9,12,15,13,15,20,18,19,18,21,19,20,23,17,21,18,22,20,18,18,18,17,17,20,17,17,20,14,22,17,17,22,23,20,18,20,21,21,20,23,19,24,21,17,19,23,883
2,5,6,10,10,12,18,18,20,25,23,26,23,27,26,28,30,22,29,24,28,26,23,25,23,23,23,27,21,24,26,18,28,23,23,30,29,26,25,27,28,28,25,30,25,30,28,21,25,29,1151
1,3,4,7,9,10,16,13,18,21,20,26,25,28,25,31,31,25,29,24,28,29,24,27,23,23,25,28,25,27,29,20,30,25,26,29,31,26,27,29,29,30,28,32,26,31,31,25,25,30,1184
