1,1,2,1,1,2,1,2,2,1,1,2,1,2,1,1,1,2,1,1,27
2,3,5,3,4,6,3,6,5,4,4,5,3,6,3,3,4,6,4,3,82
2,4,7,5,8,10,6,9,8,8,8,7,5,9,6,6,8,9,7,5,137
2,4,7,6,9,12,8,11,10,10,10,8,7,10,8,8,10,10,9,7,166
1,2,5,6,10,13,12,12,12,12,13,9,10,9,11,12,13,10,10,9,191
2,3,6,5,8,12,10,13,11,10,12,11,9,10,10,10,12,12,10,8,184
1,3,5,5,9,13,12,16,12,13,17,13,12,12,14,13,17,16,15,10,228
1,2,5,6,11,16,18,21,19,18,24,18,19,15,21,21,25,22,21,16,319
2,3,7,6,11,15,16,19,19,18,22,18,19,16,20,21,23,23,19,15,312
2,3,6,6,9,14,14,19,21,21,23,19,23,19,23,24,26,26,24,20,342
1,3,6,6,11,15,14,18,17,19,23,19,19,18,22,21,25,23,23,18,321
1,2,4,4,8,11,13,17,17,18,24,23,25,22,25,27,29,27,29,25,351
1,2,4,4,7,10,11,15,17,18,22,21,24,22,26,27,28,27,28,24,338
2,4,8,8,13,18,16,20,20,21,25,24,26,30,30,33,35,31,34,30,428
2,3,7,6,11,15,15,19,21,22,26,27,30,32,33,38,39,36,37,34,453
1,3,5,5,9,12,12,17,18,21,24,21,26,27,30,34,39,36,37,33,410
2,3,7,7,12,18,18,22,22,24,28,27,31,33,35,42,47,41,43,41,503
1,3,5,6,11,16,16,21,19,23,28,27,30,30,34,39,44,40,45,41,479
2,4,7,6,10,14,13,19,20,22,26,25,29,31,33,37,42,41,46,41,468
1,3,6,6,11,15,14,18,17,19,23,20,22,26,28,31,38,34,39,37,408
